City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,suntar,62.1444,117.6319,-27.58,93,95,2.43,RU,1706655513
113,penalva,-3.2942,-45.1736,25.23,87,96,0.93,BR,1706655513
114,klyuchi,52.2667,79.1667,-18.4,94,80,2.62,RU,1706655513
115,bugana,7.9992,7.5836,28.64,21,47,1.6,NG,1706655513
116,rikaze,29.25,88.8833,-5.19,53,1,2.18,CN,1706655513
117,barcelos,41.5388,-8.6151,14.82,79,100,1.58,PT,1706655513
118,santa ana de yacuma,-13.75,-65.4333,29.97,79,75,4.12,BO,1706655514
119,cidreira,-30.1811,-50.2056,22.1,79,1,5.18,BR,1706655514
120,hithadhoo,-0.6,73.0833,27.38,76,57,1.69,MV,1706655514
121,college,64.8569,-147.8028,-25.82,65,100,0.0,US,1706655514
122,port lincoln,-34.7333,135.8667,17.94,63,2,5.7,AU,1706655515
123,port isabel,26.0734,-97.2086,22.02,69,0,4.63,US,1706655515
124,punta arenas,-53.15,-70.9167,16.06,51,40,17.49,CL,1706655515
125,codrington,-38.2667,141.9667,18.18,63,15,5.13,AU,1706655515
126,hamilton,39.1834,-84.5333,2.72,95,100,2.06,US,1706655339
127,tonota,-21.4833,27.4833,22.4,48,4,4.91,BW,1706655515
128,port mathurin,-19.6833,63.4167,27.64,78,100,8.53,MU,1706655516
129,changchun,43.88,125.3228,-20.02,93,100,3.0,CN,1706655516
130,gadzhiyevo,69.2551,33.3362,2.44,78,95,13.06,RU,1706655516
131,horsens,55.8607,9.8503,6.54,97,100,7.54,DK,1706655516
132,atafu village,-8.5421,-172.5159,28.73,74,58,2.74,TK,1706655516
133,phongsali,21.6833,102.1058,7.8,99,9,0.79,LA,1706655516
134,boa vista,2.8197,-60.6733,28.99,61,75,4.12,BR,1706655517
135,leua,48.2156,18.6071,1.94,83,20,1.97,SK,1706655517
136,roses,42.262,3.1769,12.3,86,97,0.89,ES,1706655517
137,monrovia,6.3005,-10.7969,25.87,84,31,3.05,LR,1706655517
138,kirensk,57.7853,108.1119,-40.23,100,51,0.74,RU,1706655517
139,thompson,55.7435,-97.8558,2.09,93,75,1.03,CA,1706655518
140,colonia,50.9333,6.95,8.87,77,100,4.12,DE,1706655442
141,inyonga,-6.7167,32.0667,17.6,95,100,0.77,TZ,1706655518
142,arraial do cabo,-22.9661,-42.0278,25.98,89,75,1.03,BR,1706655518
143,st. john's,47.5649,-52.7093,-4.56,80,100,8.05,CA,1706655272
144,erdenet,49.0333,104.0833,-28.09,99,18,1.18,MN,1706655519
145,lanxi,29.2195,119.477,11.59,94,35,1.42,CN,1706655519
146,carnarvon,-24.8667,113.6333,26.33,66,13,5.84,AU,1706655519
147,gwanda,-20.9333,29.0,20.72,53,2,3.49,ZW,1706655519
148,sake,-1.5736,29.045,17.42,94,100,0.3,CD,1706655520
149,vila velha,-20.3297,-40.2925,27.97,90,75,3.09,BR,1706655520
150,asbe teferi,9.0833,40.8667,16.26,88,36,2.24,ET,1706655520
151,hermanus,-34.4187,19.2345,19.89,81,69,3.77,ZA,1706655520
152,mbaiki,3.8678,17.9892,23.41,31,100,0.27,CF,1706655520
153,igarka,67.4667,86.5833,-22.49,81,86,6.68,RU,1706655520
154,fort bragg,35.139,-79.006,13.08,51,0,2.57,US,1706655521
155,ubari,26.5921,12.7805,7.96,49,0,3.62,LY,1706655521
156,sitka,57.0531,-135.33,2.94,70,100,4.12,US,1706655521
157,novodvinsk,64.4165,40.8122,-0.12,87,95,4.14,RU,1706655237
158,valparaiso,-33.0393,-71.6273,21.13,74,20,5.14,CL,1706655521
159,cam ranh,11.9214,109.1591,21.98,88,20,2.06,VN,1706655521
160,canete,-37.8,-73.4,18.94,58,0,2.95,CL,1706655522
161,okhotsk,59.3833,143.3,-20.6,78,100,4.02,RU,1706655522
162,khandyga,62.6667,135.6,-43.09,100,100,0.82,RU,1706655522
163,baiti,13.745,-14.7482,27.24,12,88,4.65,SN,1706655522
164,bentiu,9.2333,29.8333,24.58,19,74,2.69,SS,1706655522
165,papalotla,19.1625,-98.2042,19.17,28,100,2.79,MX,1706655522
166,recreo,-29.2818,-65.061,37.34,17,0,7.53,AR,1706655522
167,bac lieu,9.285,105.7244,24.11,88,87,5.22,VN,1706655523
168,tadine,-21.55,167.8833,26.55,65,41,3.33,NC,1706655523
169,walvis bay,-22.9575,14.5053,19.53,82,6,1.03,NA,1706655523
170,mount pearl,47.5166,-52.7813,-5.02,80,100,7.72,CA,1706655523
171,dwarka,22.2394,68.9678,21.97,82,48,4.75,IN,1706655523
172,nar'yan-mar,67.6713,53.087,-6.05,92,49,4.92,RU,1706655523
173,nema,57.5067,50.5011,-2.63,86,31,5.8,RU,1706655524
174,harstad,68.799,16.5293,3.66,97,100,14.31,NO,1706655524
175,margate,51.3813,1.3862,7.39,89,100,0.45,GB,1706655524
176,constantia,44.1833,28.65,-3.62,78,45,3.82,RO,1706655524
177,okha,53.5739,142.9478,-20.49,95,62,6.26,RU,1706655524
178,georgetown,5.4112,100.3354,26.96,75,20,3.6,MY,1706655524
179,lahij,13.1667,44.5833,21.76,87,90,1.32,YE,1706655524
180,balaklava,44.5,33.6,2.35,65,0,2.18,UA,1706655525
181,altay,47.8667,88.1167,-12.07,72,100,1.79,CN,1706655525
182,remire-montjoly,4.9167,-52.2667,28.02,83,100,3.6,GF,1706655525
183,saint-pierre,-21.3393,55.4781,25.82,89,100,2.06,RE,1706655525
184,arkhangel'sk,64.5401,40.5433,0.07,83,20,6.0,RU,1706655525
185,belmonte,-15.8631,-38.8828,25.93,85,65,4.27,BR,1706655244
186,paita,-5.0892,-81.1144,25.02,80,92,6.1,PE,1706655525
187,vilyuysk,63.7553,121.6247,-25.38,98,100,1.34,RU,1706655526
188,clinton,42.587,-82.9199,2.01,93,100,2.57,US,1706655526
189,terrace,54.5163,-128.6035,9.95,81,75,7.2,CA,1706655526
190,korsakov,46.6328,142.7813,-14.09,87,92,1.86,RU,1706655526
191,afaahiti,-17.75,-149.2833,28.92,82,72,3.61,PF,1706655526
192,coruche,38.9595,-8.5252,13.1,83,100,2.67,PT,1706655527
193,juye,35.3947,116.0883,1.55,96,7,2.16,CN,1706655527
194,abeche,13.8292,20.8324,20.05,20,0,5.47,TD,1706655527
195,manismata,-2.4667,111.0333,23.59,98,100,0.54,ID,1706655527
196,lauro de freitas,-12.8944,-38.3272,27.01,83,0,4.63,BR,1706655527
197,giyani,-23.3025,30.7187,21.63,86,5,5.42,ZA,1706655527
198,herceg novi,42.4531,18.5375,8.49,93,0,0.0,ME,1706655527
199,ust-nera,64.5667,143.2,-33.21,100,100,1.73,RU,1706655528
200,chonchi,-42.6128,-73.8092,20.62,65,61,1.87,CL,1706655528
201,hadagalli,15.0167,75.95,19.64,55,33,1.05,IN,1706655528
202,enewetak,11.3474,162.3373,26.51,70,84,8.83,MH,1706655528
203,al qaryatayn,34.2296,37.2407,5.23,86,99,8.1,SY,1706655528
204,xylokastro,38.0776,22.6317,4.76,85,100,4.13,GR,1706655528
205,rongelap,11.1635,166.8941,26.25,71,100,9.01,MH,1706655272
206,kuruman,-27.4524,23.4325,23.88,40,100,3.12,ZA,1706655528
207,wainwright,52.839,-110.8572,3.37,72,89,2.92,CA,1706655529
208,antofagasta,-23.65,-70.4,21.6,81,30,3.66,CL,1706655529
209,acapulco de juarez,16.8634,-99.8901,27.58,70,99,3.64,MX,1706655249
210,achinsk,56.2694,90.4993,-24.05,99,53,1.79,RU,1706655529
211,portland,45.5234,-122.6762,15.12,75,75,4.02,US,1706654971
212,dumas,35.8656,-101.9732,17.08,23,0,2.06,US,1706655414
213,klaksvik,62.2266,-6.589,7.51,86,100,14.82,FO,1706655529
214,luganville,-15.5333,167.1667,28.91,75,52,2.18,VU,1706655530
215,missoula,47.0166,-113.8009,3.69,79,76,1.25,US,1706655530
216,mkushi,-13.6202,29.3939,17.39,93,20,1.52,ZM,1706655530
217,nuku'alofa,-21.1333,-175.2,26.19,100,100,2.06,TO,1706655530
218,weno,7.4515,151.8468,27.76,70,67,9.02,FM,1706655530
219,grenade,37.25,-3.25,7.7,67,2,0.51,ES,1706655530
220,bamboo flat,11.7,92.7167,25.05,94,20,0.0,IN,1706655530
221,ham,49.7472,3.073,6.99,87,86,2.23,FR,1706655531
222,leticia,-4.2153,-69.9406,30.03,79,20,1.54,CO,1706655531
223,yanda bayo,11.5071,10.7459,19.69,23,3,4.92,NG,1706655531
224,prado,-17.3411,-39.2208,25.83,86,19,5.21,BR,1706655531
225,novo aripuana,-5.1206,-60.3797,24.58,96,98,1.55,BR,1706655531
226,gusinoozyorsk,51.2833,106.5,-31.11,100,88,0.51,RU,1706655531
227,ulsteinvik,62.3432,5.8487,6.07,75,85,10.28,NO,1706655531
228,whakatane,-37.9585,176.9854,26.95,64,93,3.13,NZ,1706655401
229,qaqortoq,60.7167,-46.0333,-18.53,71,85,4.83,GL,1706655532
230,san antonio de pale,-1.4014,5.6325,28.24,76,95,1.9,GQ,1706655532
231,lihue,21.9789,-159.3672,22.98,83,100,5.14,US,1706655532
232,san patricio,28.017,-97.5169,21.05,46,100,1.94,US,1706655532
233,cooper's town,26.8667,-77.5167,19.82,51,90,1.21,BS,1706655532
234,kerikeri,-35.2268,173.9474,26.06,70,4,1.47,NZ,1706655532
235,newala kisimani,-10.95,39.2833,19.05,97,100,1.16,TZ,1706655532
236,happy valley-goose bay,53.3168,-60.3315,-14.83,47,20,2.06,CA,1706655532
237,agapovka,53.2973,59.1348,-9.44,96,100,2.91,RU,1706655533
238,lebu,-37.6167,-73.65,16.66,73,0,6.5,CL,1706655533
239,sao joao da barra,-21.6403,-41.0511,27.05,93,61,3.79,BR,1706655533
240,vytegra,61.0064,36.4481,-4.8,91,71,2.68,RU,1706655533
241,olonkinbyen,70.9221,-8.7187,-4.62,89,100,4.99,SJ,1706655533
242,krivosheino,57.3431,83.9261,-18.78,98,94,3.07,RU,1706655533
243,nagqu,31.5,92.0,-12.6,48,100,2.0,CN,1706655534
244,kulhudhuffushi,6.6221,73.07,27.81,74,47,4.46,MV,1706655534
245,zabol,32.25,67.25,3.34,56,0,7.85,AF,1706655534
246,pontiac,42.6389,-83.2911,1.39,94,100,1.54,US,1706655410
247,moissala,8.3404,17.7663,24.74,17,13,2.43,TD,1706655534
248,tambacounda,13.7539,-13.7586,26.03,29,0,3.09,SN,1706655534
249,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,4.12,EC,1706655534
250,miandrivazo,-19.5167,45.4667,23.33,93,100,0.83,MG,1706655534
251,souillac,-20.5167,57.5167,26.21,83,20,0.0,MU,1706655535
252,san-pedro,4.7485,-6.6363,27.14,85,48,3.7,CI,1706655535
253,berezovo,63.9381,65.0419,-13.93,96,100,3.08,RU,1706655535
254,gaiman,-43.2897,-65.4929,32.26,14,0,5.24,AR,1706655535
255,mont-dore,-22.2833,166.5833,30.99,98,54,4.06,NC,1706655535
256,brumunddal,60.881,10.9395,-13.11,96,69,1.71,NO,1706655535
257,new norfolk,-42.7826,147.0587,18.73,50,99,3.0,AU,1706655535
258,nuuk,64.1835,-51.7216,-12.29,51,100,11.62,GL,1706655536
259,ceiba,18.4463,-66.3507,26.96,75,45,2.75,PR,1706655536
260,noumea,-22.2763,166.4572,30.99,98,44,4.89,NC,1706655536
261,tazacorte,28.629,-17.9293,18.97,28,0,4.02,ES,1706655536
262,tarauaca,-8.1614,-70.7656,25.35,94,100,0.55,BR,1706655536
263,kailua-kona,19.6406,-155.9956,27.93,83,100,6.17,US,1706655536
264,tubod,8.0555,123.7904,25.0,93,100,2.24,PH,1706655536
265,cabo san lucas,22.8909,-109.9124,29.78,47,100,6.69,MX,1706655029
266,westport,41.1415,-73.3579,2.57,70,100,2.68,US,1706655537
267,kismayo,-0.3582,42.5454,26.53,85,100,6.58,SO,1706655537
268,jieshi,22.8134,115.8257,18.68,90,100,3.85,CN,1706655537
269,esquel,-42.9,-71.3167,20.53,40,14,5.41,AR,1706655537
270,saipan,15.1355,145.701,24.39,83,75,5.66,MP,1706655537
271,fale old settlement,-9.3852,-171.2468,29.55,68,25,2.32,TK,1706655537
272,haiku-pauwela,20.9219,-156.3051,26.2,86,75,6.17,US,1706655538
273,aljezur,37.3191,-8.8033,13.05,82,96,3.68,PT,1706655538
274,tsiombe,-25.3,45.4833,23.52,81,93,7.2,MG,1706655538
275,guangyuan,32.442,105.823,7.59,73,100,1.19,CN,1706655538
276,tara,56.8944,74.371,-14.58,96,100,3.05,RU,1706655538
277,wamba,8.9333,8.6,24.97,24,52,2.33,NG,1706655538
278,lucapa,-8.4192,20.7447,19.62,92,100,0.68,AO,1706655538
279,sola,-13.8833,167.55,27.87,74,49,3.18,VU,1706655539
280,namtsy,62.7161,129.6658,-33.44,95,100,0.86,RU,1706655539
281,essaouira,31.5125,-9.77,15.72,41,100,1.54,MA,1706655539
282,denia,38.8408,0.1057,13.25,89,100,0.45,ES,1706655539
283,kashgar,39.4547,75.9797,-3.44,63,40,3.0,CN,1706655539
284,kuchinarai,16.541,104.05,21.67,71,17,1.43,TH,1706655539
285,chul'man,56.8479,124.9104,-41.04,100,100,1.11,RU,1706655539
286,crane,31.3974,-102.3501,19.24,27,43,2.71,US,1706655540
287,madang,-5.2246,145.7966,27.73,77,100,2.14,PG,1706655540
288,saudarkrokur,65.7461,-19.6394,-4.71,86,100,5.13,IS,1706655437
289,selfoss,63.9331,-20.9971,-2.2,66,100,10.95,IS,1706655540
290,bundu,23.1833,85.5833,16.1,46,95,1.19,IN,1706655540
291,galveston,29.3669,-94.9669,23.06,50,100,2.24,US,1706655540
292,slaton,33.4373,-101.6435,20.42,25,69,0.92,US,1706655516
293,arawa,-6.2132,155.5367,29.53,73,100,0.92,PG,1706655540
294,impfondo,1.6381,18.0667,24.11,41,100,1.09,CG,1706655541
295,bikenibeu village,1.3673,173.1241,28.98,79,75,2.57,KI,1706655541
296,tiksi,71.6872,128.8694,-27.57,98,43,2.12,RU,1706655541
297,charters towers,-20.1,146.2667,31.98,54,79,2.06,AU,1706655541
298,princeville,45.7668,-61.2985,-5.18,85,2,3.12,CA,1706655541
299,manta,-0.95,-80.7333,27.78,74,75,5.81,EC,1706655541
300,alofi,-19.0595,-169.9187,27.92,87,99,6.97,NU,1706655542
301,papao,-17.75,-149.55,29.81,84,68,3.44,PF,1706655524
302,auki,-8.7676,160.7034,26.13,88,100,4.62,SB,1706655542
303,yellowknife,62.456,-114.3525,-10.33,100,100,4.63,CA,1706655542
304,san luis de la loma,17.2706,-100.8939,28.19,62,100,1.78,MX,1706655542
305,morehead city,34.7229,-76.726,9.03,77,0,3.6,US,1706655542
306,norfolk county,42.1668,-71.2495,-2.21,80,100,2.57,US,1706655524
307,el nido,11.1858,119.3956,25.73,72,73,2.71,PH,1706655543
308,beauvais,49.4167,2.0,6.46,76,100,2.06,FR,1706655543
309,udachny,66.4167,112.4,-23.91,99,99,1.59,RU,1706655543
310,soledade,-28.8183,-52.5103,19.15,83,39,1.43,BR,1706655543
311,tvoroyri,61.5556,-6.8111,6.93,92,100,11.71,FO,1706655544
312,ust-tsilma,65.441,52.1498,-4.66,91,75,3.58,RU,1706655544
313,oppdal,62.5943,9.6912,-6.11,45,29,5.23,NO,1706655544
314,miles city,46.4083,-105.8406,11.54,58,0,0.0,US,1706655544
315,cerro azul,21.2,-97.7333,19.39,73,100,2.45,MX,1706655544
316,juneau,58.3019,-134.4197,3.0,90,100,3.09,US,1706655545
317,porto murtinho,-21.6989,-57.8825,25.88,68,60,1.46,BR,1706655545
318,coahuayana de hidalgo,18.7,-103.6583,27.42,67,100,2.3,MX,1706655545
319,viedma,-40.8135,-62.9967,27.23,47,58,6.84,AR,1706655518
320,kingston,17.997,-76.7936,28.53,78,20,5.14,JM,1706654989
321,siddipet,18.1,78.85,18.43,58,10,3.9,IN,1706655545
322,beloyarskiy,63.7119,66.6722,-15.0,93,100,4.02,RU,1706655546
323,bonthe,7.5264,-12.505,26.37,84,45,3.27,SL,1706655546
324,acarau,-2.8856,-40.12,27.38,82,3,6.43,BR,1706655546
325,peace river,56.2501,-117.286,10.17,43,20,15.95,CA,1706655546
326,cabedelo,-6.9811,-34.8339,27.37,74,5,5.54,BR,1706655546
327,mabaruma,8.2,-59.7833,24.95,85,75,2.14,GY,1706655547
328,kristiansund,63.1115,7.732,1.36,51,73,0.0,NO,1706655547
329,madera,37.1666,-119.8343,24.73,41,89,2.26,US,1706655547
330,montepuez,-13.1256,38.9997,20.39,96,97,0.21,MZ,1706655547
331,sao paulo de olivenca,-3.3783,-68.8725,25.46,93,100,0.42,BR,1706655547
332,geraldton,-28.7667,114.6,21.23,83,0,3.6,AU,1706655421
333,boguchar,49.9358,40.545,-4.08,94,94,2.67,RU,1706655548
334,san julian,21.0167,-102.1667,21.42,21,100,1.44,MX,1706655548
335,palmares do sul,-30.2578,-50.5097,21.41,77,2,3.82,BR,1706655548
336,otaci,48.43,27.7939,-0.79,76,44,2.1,MD,1706655548
337,narasannapeta,18.4167,84.05,19.2,81,33,1.34,IN,1706655548
338,port alfred,-33.5906,26.891,21.77,92,100,1.66,ZA,1706655549
339,brisas de zicatela,15.8369,-97.0419,27.0,70,1,2.88,MX,1706655549
340,owen sound,44.5672,-80.9435,1.09,95,100,1.34,CA,1706655549
341,jayapura,-2.5333,140.7,27.66,85,100,0.97,ID,1706655549
342,tura,25.5198,90.2201,12.84,51,0,1.29,IN,1706655549
343,mukdahan,16.5833,104.5,19.96,78,21,1.04,TH,1706655550
344,nola,40.922,14.5329,9.92,83,1,1.13,IT,1706655299
345,sungai penuh,-2.0833,101.3833,18.32,96,100,1.51,ID,1706655550
346,lompoc,34.6391,-120.4579,23.21,60,0,2.57,US,1706655550
347,torghay,49.6339,63.4981,-17.03,97,75,2.83,KZ,1706655538
348,ghanzi,-21.5667,21.7833,21.12,79,100,3.42,BW,1706655550
349,taltal,-25.4,-70.4833,22.0,77,23,3.35,CL,1706655551
350,ponce,18.073,-66.6185,26.06,82,47,0.88,PR,1706655551
351,tromso,69.6496,18.957,3.01,87,100,19.55,NO,1706655361
352,wickenburg,33.9686,-112.7296,23.99,24,0,2.55,US,1706655551
353,mhamid,29.82,-5.72,14.21,37,68,3.9,MA,1706655423
354,turpan,42.9333,89.1667,-1.32,47,100,0.69,CN,1706655552
355,vernon,50.2581,-119.2691,8.67,88,100,0.51,CA,1706655552
356,vorkuta,67.5,64.0,-12.93,95,100,4.4,RU,1706655552
357,leo,11.1,-2.1,24.48,16,74,3.44,BF,1706655552
358,shimoda,34.6667,138.95,5.61,63,4,3.08,JP,1706655552
359,watford city,47.8022,-103.2832,10.92,66,0,3.09,US,1706655552
360,singkil,-7.9855,111.4161,24.21,93,92,0.53,ID,1706655553
